number_offices,activities_conducted,year,job_id,pdf_key,filing_id,number_employees,ein,region,specific_type_activity,total_expenditures,source_url
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,North America (excluding US),Libraries,13068,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,North America (excluding US),N/A,483936,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
1,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,3,520595110,Russia Independent States,Instruction Sponsored Research,937289,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Russia Independent States,N/A,62139,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,east Asia Pacific,N/A,966666,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
4,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,36,520595110,South America,Instruction & Sponsored Research,1803939,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Investments,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,east Asia Pacific,N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South America,General Services & dministration,26938,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
12,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,98,520595110,Europe (including Iceland & Greenland),Instruction & Sponsored Research,14592130,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South America,N/A,198809,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
